x1,y
1.0,1.0
1.1052631578947367,1.0513149660756935
1.2105263157894737,1.1002392084403616
1.3157894736842106,1.1470786693528088
1.4210526315789473,1.1920791213585393
1.526315789473684,1.2354415362426845
1.631578947368421,1.2773327473170102
1.736842105263158,1.3178930553209385
1.8421052631578947,1.3572417850765923
1.9473684210526314,1.3954814298487213
2.052631578947368,1.4327007988227578
2.1578947368421053,1.4689774459950382
2.263157894736842,1.504379571363837
2.3684210526315788,1.538967528127731
2.473684210526316,1.5727950313140984
2.5789473684210527,1.6059101370939324
2.6842105263157894,1.6383560438182505
2.789473684210526,1.670171752907624
2.894736842105263,1.7013926184468013
3.0,1.7320508075688772
