complexity,loss,equation,score,sympy_format,lambda_format
1,0.5864,x4,0.0,x4,PySRFunction(X=>x4)
3,0.2426,x4 - x5,0.44129407703124596,x4 - x5,PySRFunction(X=>x4 - x5)
7,0.2423,((x4 - x5) * x4) / x4,0.0003093421718674462,x4*(x4 - x5)/x4,PySRFunction(X=>x4*(x4 - x5)/x4)
8,0.1675,(x4 - x5) / (exp(x2) - x2),0.3691932765573589,(x4 - x5)/(-x2 + exp(x2)),PySRFunction(X=>(x4 - x5)/(-x2 + exp(x2)))
9,0.0603,(x5 - x4) * -0.694,1.0216512475319814,(-x4 + x5)*(-0.694),PySRFunction(X=>(-x4 + x5)*(-0.694))
15,0.0585,(x4 - (x5 * 0.9194)) * 0.7236,0.00505089158255482,(x4 - 0.9194*x5)*0.7236,PySRFunction(X=>(x4 - 0.9194*x5)*0.7236)
16,0.046,log((x3 / x3) + (1.174 ^ x1)) * (x4 - x5),0.24038535774871583,(x4 - x5)*log(1.174**x1 + 1),PySRFunction(X=>(x4 - x5)*log(1.174**x1 + 1))
17,0.0445,((x4 - x5) + (x0 * -0.178)) * 0.692,0.03315220731690051,(x0*(-0.178) + x4 - x5)*0.692,PySRFunction(X=>(x0*(-0.178) + x4 - x5)*0.692)
19,0.04028,((x4 - x5) / 1.446) - ((x0 - x2) * 0.0981),0.04981706066091641,-0.0981*(x0 - x2) + (x4 - x5)/1.446,PySRFunction(X=>-0.0981*(x0 - x2) + (x4 - x5)/1.446)
20,0.03842,((x4 - x5) - (exp(x4) * (x0 * 0.10077))) / 1.434,0.04727691050995093,(-0.10077*x0*exp(x4) + x4 - x5)/1.434,PySRFunction(X=>(-0.10077*x0*exp(x4) + x4 - x5)/1.434)
21,0.03674,((x4 - x5) / 1.444) - (((x4 * x0) + x0) * 0.10834),0.044712077553431054,(x4 - x5)/1.444 - 0.10834*(x0*x4 + x0),PySRFunction(X=>(x4 - x5)/1.444 - 0.10834*(x0*x4 + x0))
22,0.03284,((x4 - x5) / 1.434) - ((0.05234 * (x0 - x2)) * exp(x4)),0.1122187952027521,-0.05234*(x0 - x2)*exp(x4) + (x4 - x5)/1.434,PySRFunction(X=>-0.05234*(x0 - x2)*exp(x4) + (x4 - x5)/1.434)
23,0.03253,((x4 - x5) / 1.449) - (((x0 * x4) + (x0 - x2)) * 0.0971),0.009484544098967285,(x4 - x5)/1.449 - 0.0971*(x0*x4 + x0 - x2),PySRFunction(X=>(x4 - x5)/1.449 - 0.0971*(x0*x4 + x0 - x2))
24,0.03032,((x4 - x5) / 1.444) - ((x5 + exp(x4)) * ((x0 - x2) * 0.0526)),0.07035517971108926,-0.0526*(x0 - x2)*(x5 + exp(x4)) + (x4 - x5)/1.444,PySRFunction(X=>-0.0526*(x0 - x2)*(x5 + exp(x4)) + (x4 - x5)/1.444)
26,0.02911,((x4 - x5) / 1.446) - (((x0 - x2) * 0.04913) * ((x5 + x3) + exp(x4))),0.020362901508319493,-0.04913*(x0 - x2)*(x3 + x5 + exp(x4)) + (x4 - x5)/1.446,PySRFunction(X=>-0.04913*(x0 - x2)*(x3 + x5 + exp(x4)) + (x4 - x5)/1.446)
