x1,x2,y,Model_1_Y_pred,Model_2_Y_pred,Model_3_Y_pred,Model_4_Y_pred,Model_5_Y_pred,Model_1_Residuals,Model_2_Residuals,Model_3_Residuals,Model_4_Residuals,Model_5_Residuals
64.6888,64.7384,1.1343,64.7384,0.959337517329009,0.9097375173290109,1.1342675170756955,1.1342572492874297,63.604099999999995,0.17496248267099113,0.22456248267098922,3.2482924304577665e-05,4.2750712570427396e-05
88.4607,88.5103,-0.3958,88.5103,0.4760043416426587,0.4264043416426606,-0.3957991199734865,-0.39574794811407765,88.9061,0.8718043416426586,0.8222043416426605,8.800265134945029e-07,5.20518859223329e-05
39.5303,39.5798,1.8548,39.5798,0.9662891720463083,0.9167891720463064,1.8548351474989606,1.8547829929116757,37.725,0.8885108279536917,0.9380108279536936,3.51474989606082e-05,1.700708832430564e-05
58.0525,58.1021,1.9752,58.1021,0.9977587429370073,0.9481587429370092,1.9752194247659167,1.975162051191722,56.1269,0.9774412570629928,1.027041257062991,1.942476591665354e-05,3.794880827800995e-05
15.065,15.1146,1.3736,15.1146,0.5995696405634602,0.5499696405634603,1.373567298343846,1.373521867348134,13.741,0.7740303594365397,0.8236303594365396,3.270165615387732e-05,7.813265186595864e-05
57.2601,57.3097,-0.3382,57.3097,0.6529192548100552,0.6033192548100571,-0.3381954557374598,-0.3381372807188242,57.6479,0.9911192548100551,0.941519254810057,4.544262540207011e-06,6.271928117579373e-05
53.5953,53.6448,-0.1215,53.6448,-0.18711543179722914,-0.2366154317972239,-0.12146632754301939,-0.12147018091924594,53.766299999999994,0.06561543179722915,0.11511543179722392,3.3672456980604615e-05,2.9819080754056593e-05
48.6428,48.6923,-0.1781,48.6923,-0.9986542166873409,-1.0481542166873428,-0.17810332431284415,-0.1781514878230286,48.870400000000004,0.8205542166873409,0.8700542166873427,3.3243128441384773e-06,5.148782302857868e-05
3.6743,3.7239,0.456,3.7239,-0.5078674032673537,-0.5574674032673536,0.4559739482527365,0.4559173740863057,3.2679,0.9638674032673538,1.0134674032673536,2.6051747263500236e-05,8.262591369428973e-05
86.3807,86.4302,-1.5036,86.4302,-0.9999142227685411,-1.049414222768536,-1.5035984426852915,-1.5035688781570202,87.9338,0.5036857772314589,0.45418577723146414,1.5573147085223837e-06,3.11218429798199e-05
