x1,y,Model_1_Y_pred,Model_2_Y_pred,Model_3_Y_pred,Model_4_Y_pred,Model_5_Y_pred,Model_6_Y_pred,Model_7_Y_pred,Model_8_Y_pred,Model_9_Y_pred,Model_1_Residuals,Model_2_Residuals,Model_3_Residuals,Model_4_Residuals,Model_5_Residuals,Model_6_Residuals,Model_7_Residuals,Model_8_Residuals,Model_9_Residuals
64.7207,17821139.3586,64.7207,4188.76900849,271100.0623677787,551002.8145874832,17545785.806486294,17816885.868854072,17816890.038935162,17821074.637862563,17821139.358562563,17821074.637900002,17816950.58959151,17550039.296232224,17270136.544012517,275353.5521137081,4253.489745929837,4249.319664839655,64.72073743864894,3.7439167499542236e-05
88.5045,62057799.2052,88.5045,7833.046520249999,693259.865751466,6044832.741473062,61356617.78840062,62049877.65415209,62049882.13720549,62057710.70067234,62057799.20517234,62057710.7007,62049966.15867975,61364539.339448534,56012966.46372694,701181.4167993814,7921.55104791373,7917.067994512618,88.5045276582241,2.7664005756378174e-05
39.5495,2510071.31,39.5495,1564.1629502500002,61861.862600912384,18898.605168094386,2446605.7349347845,2508467.5975356973,2508471.2750887494,2510031.7604859467,2510071.309985947,2510031.7605,2508507.14704975,2448209.4473990877,2491172.7048319057,63465.575065215584,1603.7124643027782,1600.0349112506956,39.54951405338943,1.4053191989660263e-05
58.0811,11579286.3124,58.0811,3373.4141772099997,195931.60616795172,251879.57921538875,11379923.21100142,11575854.81716937,11575858.879009679,11579228.231346583,11579286.312446583,11579228.2313,11575912.898222791,11383354.706232049,11327406.733184611,199363.10139857978,3431.49523063004,3427.43339032121,58.08105341717601,4.6582892537117004e-05
15.0721,55271.5325,15.0721,227.16819841000003,3423.9018032553618,104.2388139480132,51605.39036884514,55029.292172100504,55032.005017453135,55256.460370510504,55271.532470510494,55256.4604,55044.36430159,51847.630696744636,55167.29368605199,3666.142131154862,242.24032789949706,239.52748254686594,15.072129489497456,2.9489507141988724e-05
57.2883,10962547.8533,57.2883,3281.94931689,188017.29705078938,228430.70108820198,10771191.318634737,10959208.615685526,10959212.663781941,10962490.565002415,10962547.853302415,10962490.565,10959265.903983109,10774530.55624921,10734117.152211798,191356.53466526233,3339.237614473328,3335.1895180586725,57.28829758428037,2.4158507585525513e-06
53.6216,8424317.7953,53.6216,2875.27598656,154176.8988409257,143485.53893598926,8267211.998888582,8421388.897729507,8421392.87968148,8424264.17371607,8424317.795316068,8424264.1737,8421442.51931344,8270140.896459074,8280832.25636401,157105.79641141742,2928.8975704926997,2924.91561852023,53.62158392928541,1.6069039702415466e-05
48.6667,5727226.1025,48.6667,2368.44768889,115264.53314090296,73731.9332781594,5609544.455008382,5724808.988149285,5724812.873144303,5727177.435838175,5727226.102538175,5727177.4358,5724857.65481111,5611961.569359097,5653494.169221841,117681.64749161806,2417.114350714721,2413.2293556965888,48.66666182503104,3.8174912333488464e-05
3.6757,249.3889,3.6757,13.51077049,49.661539090093,1.481111449398963,182.54091923345484,232.20245832354786,233.50420191426485,245.71322881354786,249.38892881354784,245.7132,235.87812951,199.72736090990702,247.90778855060105,66.84798076654516,17.186441676452148,15.884698085735153,3.675671186452149,2.8813547828576702e-05
86.4234,56439073.9148,86.4234,7469.00406756,645496.726132365,5003897.425521984,55786021.76122783,56431518.487360194,56431522.94661867,56438987.49142775,56439073.91482775,56438987.4914,56431604.91073244,55793577.18866764,51435176.48927802,653052.1535721719,7555.4274398088455,7550.968181334436,86.4233722537756,2.7745962142944336e-05
70.964,25722654.7029,70.964,5035.889295999999,357366.84800134395,1092460.9605512538,25360181.00156737,25717547.849568713,25717552.11174142,25722583.738864716,25722654.702864714,25722583.7389,25717618.813604,25365287.854898658,24630193.742348745,362473.7013326287,5106.85333128646,5102.591158580035,70.96403528377414,3.528594970703125e-05
4.0721,363.1403,4.0721,16.581998409999997,67.52355572536098,1.763857553518976,274.96267126924243,342.4862269946034,343.8903858315068,359.0682254046034,363.14032540460346,359.06820000000005,346.55830159000004,295.616744274639,361.37644244648106,88.17762873075759,20.65407300539664,19.249914168493206,4.0720745953966,2.540460343425366e-05
50.1532,6455670.7941,50.1532,2515.34347024,126152.52413164076,90471.23726006101,6326952.773279006,6453105.297410647,6453109.212492968,6455620.6408808855,6455670.794080886,6455620.6409,6453155.45062976,6329518.269968359,6365199.556839938,128718.02082099393,2565.496689352207,2561.581607031636,50.15321911405772,1.9113533198833466e-05
78.6937,38843111.461,78.6937,6192.698419690001,487326.35162955907,2403840.178294568,38349513.717231035,38836840.0688606,38836844.4344237,38843032.76728029,38843111.46098029,38843032.7673,38836918.76258031,38355785.10937044,36439271.28270543,493597.7437689677,6271.392139405012,6267.026576302946,78.69371971487999,1.971423625946045e-05
95.8378,85251632.2077,95.8378,9184.88390884,880259.0670786261,11469287.350062924,84362092.41886796,85242351.48594658,85242356.04860376,85251536.36985542,85251632.20765541,85251536.3699,85242447.32379116,84371373.14062138,73782344.85763708,889539.7888320386,9280.721753418446,9276.159096240997,95.83784458041191,4.458427429199219e-05
69.6757,23911322.0941,69.6757,4854.703170490001,338254.8416961102,952099.6210865772,23568142.873565666,23906397.715261776,23906401.959113397,23911252.41843227,23911322.09413227,23911252.418399997,23906467.39092951,23573067.25240389,22959222.47301342,343179.2205343321,4924.378838222474,4920.13498660177,69.67566772922873,3.227218985557556e-05
