x1,x2,y,Model_1_Y_pred,Model_2_Y_pred,Model_3_Y_pred,Model_4_Y_pred,Model_5_Y_pred,Model_6_Y_pred,Model_7_Y_pred,Model_8_Y_pred,Model_9_Y_pred,Model_10_Y_pred,Model_11_Y_pred,Model_12_Y_pred,Model_13_Y_pred,Model_14_Y_pred,Model_1_Residuals,Model_2_Residuals,Model_3_Residuals,Model_4_Residuals,Model_5_Residuals,Model_6_Residuals,Model_7_Residuals,Model_8_Residuals,Model_9_Residuals,Model_10_Residuals,Model_11_Residuals,Model_12_Residuals,Model_13_Residuals,Model_14_Residuals
69.5117,10.9618,0.0035398677764125,10.9618,-0.0337678668614466,-0.033761449819628864,-0.9348757907700155,-0.013045922505868656,-0.02609184501173731,-0.02609184501173731,-0.02602759692981993,-0.026027681251076698,-0.02618448341565631,-0.026084856449984442,-0.025888961842635342,-0.02588623356920713,-0.025182104795897026,10.958260132223588,0.0373077346378591,0.03730131759604136,0.9384156585464279,0.016585790282281156,0.02963171278814981,0.02963171278814981,0.02956746470623243,0.029567549027489197,0.02972435119206881,0.02962472422639694,0.02942882961904784,0.02942610134561963,0.028721972572309525
56.4373,1.1812,-0.1365402486964441,1.1812,0.379815023152438,0.37074868161144314,0.8771199440736199,-0.042211766468706724,-0.08442353293741345,-0.08442353293741345,-0.08421564997407843,-0.08421592280639041,-0.12667543590960584,-0.08454277780111463,-0.12483560855013245,-0.12555998069730182,-0.09822792703349899,1.317740248696444,0.5163552718488821,0.5072889303078872,1.0136601927700641,0.09432848222773738,0.05211671575903065,0.05211671575903065,0.05232459872236567,0.05232432589005369,0.009864812786838262,0.05199747089532947,0.011704640146311646,0.010980267999142285,0.03831232166294511
62.2912,42.4713,-0.0944170729450827,42.4713,0.05976354318320695,0.05972797348310136,-0.8866002884084929,-0.03076005825508051,-0.06152011651016102,-0.06152011651016102,-0.06136863050051571,-0.06136882931564505,-0.06153265395763476,-0.06153551871669593,-0.06177604230510321,-0.061779614014818136,-0.06140629118756465,42.565717072945084,0.15418061612828965,0.15414504642818405,0.7921832154634102,0.06365701469000219,0.03289695643492168,0.03289695643492168,0.033048442444566985,0.033048243629437646,0.032884418987447935,0.03288155422838677,0.03264103063997949,0.03263745893026456,0.033010781757518044
31.4263,65.5421,-0.0118763587694726,65.5421,-0.9084039331650187,-0.7885231552676994,0.40864802121850985,-0.00942312658691981,-0.01884625317383962,-0.01884625317383962,-0.01879984650473654,-0.018799907410347174,-0.01884844673479753,-0.017926455087063444,-0.011935429741068843,-0.011708309145282605,-0.018956010821462074,65.55397635876948,0.8965275743955461,0.7766467964982269,0.4205243799879824,0.0024532321825527902,0.00696989440436702,0.00696989440436702,0.006923487735263939,0.006923548640874574,0.0069720879653249294,0.006050096317590844,5.9070971596242305e-05,0.0001680496241899948,0.007079652051989474
20.3582,77.8716,-1.530214436343031,77.8716,-0.784928046475634,-0.7067742801966217,-0.7449285515344242,-0.7834124843925232,-1.5668249687850464,-1.5668249687850464,-1.5629668476403202,-1.5629719111630587,-1.5668254671951185,-1.5649310947318253,-1.5579718519288708,-1.5579447586812585,-1.5737587510571842,79.40181443634303,0.745286389867397,0.8234401561464093,0.7852858848086068,0.7468019519505078,0.0366105324420154,0.0366105324420154,0.03275241129728923,0.032757474820027666,0.0366110308520875,0.03471665838879434,0.027757415585839773,0.027730322338227475,0.04354431471415321
97.3229,33.5986,-0.0285450246651096,33.5986,-0.5744050417796183,-0.5433354101022576,-0.8549173256430287,-0.03815388997709449,-0.07630777995418898,-0.07630777995418898,-0.07611988107255661,-0.07612012767711464,-0.07634144162806467,-0.07624713590932564,-0.07462842854924845,-0.07464547117360353,-0.07737495482585546,33.627145024665104,0.5458600171145087,0.5147903854371481,0.8263723009779191,0.00960886531198489,0.04776275528907938,0.04776275528907938,0.04757485640744701,0.047575103012005036,0.047796416962955064,0.047702111244216035,0.04608340388413885,0.046100446508493924,0.04882993016074586
25.9896,16.924,-0.5340235028954161,16.924,-0.34736494004920715,-0.3404213164437263,-0.8765742302356799,-0.2625347299016028,-0.5250694598032056,-0.5250694598032056,-0.5237765383693025,-0.5237782352411307,-0.525462727869995,-0.5245551950120438,-0.5203445396786818,-0.5202224171656054,-0.5132056186516984,17.458023502895415,0.18665856284620896,0.1936021864516898,0.3425507273402638,0.2714887729938133,0.008954043092210484,0.008954043092210484,0.010246964526113622,0.010245267654285461,0.008560775025421075,0.009468307883372273,0.013678963216734341,0.013801085729810758,0.020817884243717666
23.799,61.6941,-0.8205249541193859,61.6941,0.41963508231868035,0.4074272236183354,-0.6210630753044813,-0.40789947227651424,-0.8157989445530285,-0.8157989445530285,-0.8137901361535389,-0.8137927725785309,-0.8158048549510559,-0.8165398356412171,-0.8200763976227345,-0.8201190268465873,-0.818338667653857,62.514624954119384,1.2401600364380663,1.2279521777377211,0.19946187881490451,0.4126254818428716,0.004726009566357381,0.004726009566357381,0.006734817965846962,0.006732181540854976,0.004720099168329939,0.0039851184781687365,0.00044855649665132,0.00040592727279853413,0.002186286465528875
16.215,98.7849,0.1636909521431034,98.7849,-0.1743726171193004,-0.173490302796157,0.9454679102780624,0.08467341283164878,0.16934682566329756,0.16934682566329756,0.1689298291372654,0.16893037641696768,0.16935345681657307,0.17001002545296975,0.17168819599402252,0.17156842457871302,0.16849128679232256,98.6212090478569,0.3380635692624038,0.3371812549392604,0.7817769581349591,0.07901753931145461,0.005655873520194171,0.005655873520194171,0.005238876994162006,0.005239424273864285,0.0056625046734696816,0.006319073309866363,0.007997243850919128,0.007877472435609628,0.004800334649219168
7.2854,4.5324,-0.3176592498725134,4.5324,-0.1790187318359346,-0.17806407289396925,-0.6805921984740373,-0.15085291343571022,-0.30170582687142045,-0.30170582687142045,-0.30096291196175934,-0.3009638869872696,-0.30384737887792057,-0.2983330184508722,-0.2854462851389004,-0.28414870197607717,-0.2855920089241238,4.850059249872514,0.1386405180365788,0.13959517697854418,0.36293294860152386,0.1668063364368032,0.01595342300109298,0.01595342300109298,0.01669633791075409,0.016695362885243814,0.013811870994592856,0.01932623142164125,0.032212964733613014,0.03351054789643626,0.03206724094838964
