x1,y,Model_1_Y_pred,Model_2_Y_pred,Model_3_Y_pred,Model_4_Y_pred,Model_5_Y_pred,Model_6_Y_pred,Model_1_Residuals,Model_2_Residuals,Model_3_Residuals,Model_4_Residuals,Model_5_Residuals,Model_6_Residuals
30.2079,28507.96661715413,30.2079,912.5172224099999,27565.229002839034,28477.746225249037,28507.954125249038,28507.954125249034,28477.758717154127,27595.44939474413,942.7376143150941,30.220391905091674,0.01249190509042819,0.012491905094066169
25.2283,16718.694751903506,25.2283,636.46712089,16056.983465949188,16693.45058683919,16718.67888683919,16718.67888683919,16693.466451903507,16082.227631013506,661.7112859543176,25.244165064315894,0.015865064317040378,0.015865064317040378
2.0215,14.362846998466896,2.0215,4.08646225,8.260783438375,12.347245688375,14.368745688375,14.368745688375,12.341346998466896,10.276384748466896,6.102063560091896,2.0156013100918955,0.00589868990810416,0.00589868990810416
9.2806,894.7524786852404,9.2806,86.12953635999999,799.3337751426159,885.463311502616,894.743911502616,894.7439115026159,885.4718786852403,808.6229423252404,95.41870354262448,9.289167182624396,0.00856718262434697,0.008567182624460656
31.5874,32546.124000648204,31.5874,997.7638387599999,31516.76548044762,32514.52931920762,32546.11671920762,32546.116719207617,32514.536600648204,31548.360161888206,1029.3585202005852,31.594681440583372,0.007281440583028598,0.0072814405866665766
30.0874,28171.985028609357,30.0874,905.2516387599999,27236.66815602762,28141.91979478762,28172.00719478762,28172.00719478762,28141.897628609357,27266.733389849356,935.3168725817377,30.06523382173691,0.022166178263432812,0.022166178263432812
66.4505,297905.53229129367,66.4505,4415.66895025,293423.4095785877,297839.07852883765,297905.5290288376,297905.5290288377,297839.0817912937,293489.86334104365,4482.122712705983,66.45376245601801,0.00326245604082942,0.003262455982621759
35.1538,44713.64316448574,35.1538,1235.7896544399998,43442.70235425286,44678.49200869286,44713.64580869286,44713.64580869286,44678.48936448574,43477.85351004574,1270.9408102328744,35.151155792875215,0.002644207124831155,0.002644207124831155
7.0202,402.2803627955822,7.0202,49.28320804,345.97797708240796,395.261185122408,402.281385122408,402.2813851224079,395.26016279558223,352.99715475558224,56.30238571317426,7.019177673174227,0.0010223268257618656,0.0010223268257050222
89.3358,721048.9949549324,89.3358,7980.885161640001,712978.7606232389,720959.6457848788,721048.9815848788,721048.9815848789,720959.6591549324,713068.1097932924,8070.2343316935,89.34917005361058,0.013370053609833121,0.0133700534934178
8.7804,762.7913877857416,8.7804,77.09542416000001,676.9286622944641,754.024086454464,762.804486454464,762.804486454464,754.0109877857416,685.6959636257416,85.8627254912775,8.767301331277508,0.013098668722477669,0.013098668722477669
16.664,4921.756189089226,16.664,277.68889600000006,4627.407762944002,4905.096658944001,4921.760658944001,4921.760658944001,4905.092189089226,4644.067293089226,294.34842614522404,16.65953014522438,0.004469854775379645,0.004469854775379645
78.3436,487067.1178997908,78.3436,6137.71966096,480851.0540303858,486988.7736913458,487067.11729134584,487067.11729134584,486988.7742997908,480929.3982388308,6216.063869405014,78.34420844499255,0.0006084449705667794,0.0006084449705667794
10.0088,1112.819065327458,10.0088,100.17607744000001,1002.6423238814722,1102.8184013214723,1112.8272013214723,1112.827201321472,1102.810265327458,1012.642987887458,110.17674144598584,10.000664005985755,0.0081359940143102,0.008135994014082826
65.7084,288085.4984430532,65.7084,4317.593830559999,283702.18245596864,288019.7762865287,288085.4846865287,288085.4846865286,288019.7900430532,283767.90461249324,4383.315987084585,65.72215652454179,0.013756524538621306,0.013756524596828967
94.7645,860089.7164675861,94.7645,8980.310460249999,851014.630610361,859994.9410706109,860089.7055706109,860089.705570611,859994.9519675861,851109.4060073361,9075.085857225116,94.77539697522298,0.010896975174546242,0.01089697505813092
