x1,y,Model_1_Y_pred,Model_2_Y_pred,Model_3_Y_pred,Model_4_Y_pred,Model_5_Y_pred,Model_6_Y_pred,Model_7_Y_pred,Model_1_Residuals,Model_2_Residuals,Model_3_Residuals,Model_4_Residuals,Model_5_Residuals,Model_6_Residuals,Model_7_Residuals
60.7042,838122609.374259,60.7042,3684.99989764,2634543.6046797712,10817469.995927477,824315944.450165,837895168.6957718,838122548.6664559,838122548.670059,838118924.3743614,835488065.7695792,827305139.3783315,13806664.924093962,227440.67848718166,60.70780313014984
67.6062,1433522446.8132107,67.6062,4570.59827844,9289359.945954373,39142573.169337325,1412318439.1920614,1433208807.8149405,1433522379.1945505,1433522379.2070107,1433517876.2149322,1424233086.8672564,1394379873.6438735,21204007.6211493,313638.9982702732,67.61866021156311
74.3676,2305676025.610667,74.3676,5530.53992976,31283030.28849108,134799214.5331277,2274672255.8013935,2305259127.716063,2305675951.237273,2305675951.2430673,2305670495.0707374,2274392995.322176,2170876811.0775394,31003769.80927372,416897.8946042061,74.37339401245117
7.3785,25297.073786070578,7.3785,54.44226225,40.12056417496661,80.18377062413471,21869.57826158723,24833.538180485008,25289.68267474663,25289.69528607058,25242.63152382058,25256.953221895612,25216.890015446443,3427.4955244833473,463.53560558557,7.39111132394828
3.7973,1070.4428421836626,3.7973,14.41948729,17.217605381665557,22.973283641187884,789.5407437275843,997.4623574340558,1066.636963810373,1066.6455421836627,1056.0233548936626,1053.225236801997,1047.4695585424747,280.9020984560783,72.98048474960683,3.8058783732897155
2.1111,77.77605976546931,2.1111,4.45674321,16.86623021372535,12.602601350413279,41.931850500193,61.794410540074104,75.6597843407051,75.66495976546932,73.31931655546931,60.90982955174397,65.17345841505603,35.84420926527631,15.98164922539521,2.1162754247642113
60.7138,838783317.5778439,60.7138,3686.1655104399997,2639207.1660105805,10837035.980419056,824967953.4038441,838555769.5742015,838783256.8552797,838783256.864044,838779631.4123335,836144110.4118333,827946281.5974249,13815364.173999786,227548.00364243984,60.72256422042847
53.002,426317831.9078409,53.002,2809.2120040000004,627513.9910930856,2491437.403804168,418274403.76530486,426166075.8487226,426317778.9153626,426317778.90584093,426315022.6958369,425690317.9167478,423826394.5040367,8043428.142536044,151756.05911833048,52.99247831106186
82.1171,3779977424.282305,82.1171,6743.218112409999,123097587.51721126,542632172.1651045,3733945874.93471,3779416865.4462447,3779977342.1804156,3779977342.165205,3779970681.0641923,3656879836.7650933,3237345252.1172004,46031549.34759474,560558.8360600471,82.10188913345337
21.8128,5175328.313529174,21.8128,475.79824384,1183.6298479873976,3648.5354004333176,4938068.23553994,5164452.204381168,5175306.494558241,5175306.500729173,5174852.515285334,5174144.683681186,5171679.77812874,237260.07798923366,10876.109148005955,21.818970932625234
