x1,y,Model_1_Y_pred,Model_2_Y_pred,Model_3_Y_pred,Model_4_Y_pred,Model_5_Y_pred,Model_6_Y_pred,Model_7_Y_pred,Model_8_Y_pred,Model_1_Residuals,Model_2_Residuals,Model_3_Residuals,Model_4_Residuals,Model_5_Residuals,Model_6_Residuals,Model_7_Residuals,Model_8_Residuals
64.7207,74648640494.57555,64.7207,5499951.086711333,2308023513.3348107,64207123.48470557,71102407.74205352,74222521421.54703,74630819355.25935,74648636241.1282,74648640429.85484,74643140543.48883,72340616981.24074,74584433371.09084,74577538086.8335,426119073.0285187,17821139.316192627,4253.447341918945
88.5045,486101636040.055,88.5045,374841317.8786723,47349456071.08883,47505347947.08013,54616457207.61126,485723977917.43164,486039578240.7942,486101628118.4483,486101635951.5505,485726794722.17633,438752179968.9662,438596288092.97485,431485178832.4437,377658122.62335205,62057799.26080322,7921.606689453125
39.5495,3926162149.372048,39.5495,46830.857404047114,29560498.015336413,59027.56816723615,62824.116016263644,3860267134.768883,3923652077.967966,3926160545.5655017,3926162109.822548,3926115318.5146437,3896601651.3567114,3926103121.8038807,3926099325.2560315,65895014.60316467,2510071.4040818214,1603.8065462112427
58.0811,39061732039.90874,58.0811,1622061.0229740723,849694143.4748816,10153479.743695626,11126823.970384846,38759169595.992676,39050152753.56383,39061728608.381,39061731981.82764,39060109978.885765,38212037896.43385,39051578560.16504,39050605215.938354,302562443.9160614,11579286.344909668,3431.5277404785156
15.0721,12556176.761747262,15.0721,258.740906543335,23679.74356896534,65.799584155097,67.38138738961321,11798441.872909792,12500905.162513588,12555934.45468569,12556161.689647261,12555918.020840717,12532497.018178295,12556110.962163106,12556109.380359871,757734.8888374697,55271.599233673885,242.30706157162786
57.2883,35978529777.84425,57.2883,1399899.430372222,749697983.3931283,8146582.491784502,8916390.929057388,35690035659.059204,35967567229.90411,35978526438.5198,35978529720.555954,35977129878.41388,35228831794.451126,35970383195.35247,35969613386.9152,288494118.78504944,10962547.94013977,3339.3244552612305
53.6216,24222241588.829308,53.6216,705145.4732800511,412560524.5212698,2942002.355494972,3201450.671959369,23995077217.18231,24213817271.12464,24222238660.022373,24222241535.207706,24221536443.356026,23809681064.308037,24219299586.473812,24219040138.15735,227164371.64699936,8424317.704666138,2928.8069343566895
48.6667,13564637843.535175,48.6667,275636.2032113988,174630226.9700483,742862.6692198814,802085.6031793408,13408355026.242779,13558910617.318874,13564635426.307024,13564637794.868475,13564362207.331964,13390007616.565126,13563894980.865955,13563835757.931995,156282817.29239655,5727226.216300964,2417.228151321411
3.6757,3386.49944890482,3.6757,16.838608246284448,20.010956862940635,2.7759916702321457,2.7921205334200345,2473.8610545904035,3137.2341216232453,3369.4365799467932,3382.82374890482,3369.6608406585356,3366.4884920418795,3383.723457234588,3383.7073283714,912.6383943144165,249.26532728157463,17.062868958026684
86.4234,421543680194.5901,86.4234,261165851.59275547,37374130224.87671,26649493203.800068,30538343147.059063,421076603847.91754,421487241120.68066,421543672639.16797,421543680108.1667,421282514342.9973,384169549969.7134,394894186990.79004,391005337047.531,467076346.6725464,56439073.90942383,7555.422119140625
70.964,129536446589.78049,70.964,17017013.370049372,5501512457.537937,363700468.582966,406741486.4929391,129002888041.72963,129510723935.0109,129536441482.86046,129536446518.81648,129519429576.41043,124034934132.24255,129172746121.19753,129129705103.28755,533558548.05085754,25722654.769592285,5106.920028686523
4.0721,6042.279535788807,4.0721,18.17465498436362,29.248283147918148,3.0991163570388163,3.1190707106098197,4574.573285031518,5679.106071471412,6021.592298466016,6038.207435788807,6024.104880804443,6013.031252640889,6039.180419431768,6039.160465078197,1467.7062507572891,363.173464317395,20.68723732279159
50.1532,16238231943.286987,50.1532,365950.8321855917,227566235.88662824,1122619.283717381,1214960.5842256178,16062267469.5447,16231776272.613024,16238229377.910435,16238231893.133787,16237865992.454802,16010665707.400358,16237109324.00327,16237016982.702763,175964473.74228668,6455670.673963547,2565.376552581787
78.6937,240543681231.6344,78.6937,67390434.01524165,14886257273.312101,3113267281.4457626,3524373857.3917375,239947776544.5724,240504838120.1863,240543674960.2552,240543681152.9407,240476290797.61917,225657423958.3223,237430413950.18863,237019307374.24268,595904687.0620117,38843111.4480896,6271.379211425781
95.8378,783026354146.9652,95.8378,1325189870.388007,105344072827.45511,364246449089.5654,423639032040.5225,783249406896.4036,782941102514.9542,783026344866.4402,783026354051.1274,781701164276.5771,677682281319.5101,418779905057.3998,359387322106.4427,223052749.4383545,85251632.01098633,9280.525024414062
69.6757,116082376105.45,69.6757,13497755.30416205,4622161049.111335,254290279.32498384,283806627.4526819,115568683147.27783,116058464783.27626,116082371180.99153,116082376035.77429,116068878350.14583,111460215056.33867,115828085826.12502,115798569477.99731,513692958.1721649,23911322.173736572,4924.458465576172
11.7027,2808723.385221473,11.7027,116.45955422142694,4966.80458794618,25.808068231901842,26.2885090381129,2583681.6857227753,2788215.9124409826,2808574.8100147713,2808711.682521473,2808606.9256672515,2803756.5806335267,2808697.5771532413,2808697.0967124347,225041.69949869765,20507.472780490294,148.57520670164376
99.7027,992246105044.146,99.7027,2562304745.0800953,157449551852.40695,1065706542292.0618,1247049759257.548,993027146066.9728,992146287803.677,992246095003.9011,992246104944.4432,989683800299.0659,834796553191.739,73460437247.91577,254803654213.4021,781041022.8267822,99817240.46899414,10040.244873046875
37.3694,2798187020.699696,37.3694,30351.73889102589,18465648.99478195,32215.02517404006,34169.427253364964,2746692093.052742,2796183267.4394426,2798185586.9665003,2798186983.330296,2798156668.960805,2779721371.704914,2798154805.674522,2798152851.272443,51494927.64695406,2003753.2602534294,1433.7331957817078
99.4054,974654987548.1456,99.4054,2435939136.7071815,152725235702.70966,981234567041.1777,1147665930313.835,975385747489.4382,974556352570.3817,974654977567.2228,974654987448.7402,972219048411.4385,821929751845.436,6579579493.0321045,173010942765.68933,730759941.2926025,98634977.76391602,9980.9228515625
31.7207,1051884923.3244804,31.7207,9661.16292305618,4914041.827476861,6708.530731466272,7052.4517292432365,1027074010.2236962,1050839523.9246907,1051883885.4739312,1051884891.6037804,1051875262.1615573,1046970881.4970036,1051878214.793749,1051877870.8727511,24810913.100784183,1045399.399789691,1037.8505492210388
71.3604,133928384573.75534,71.3604,18271906.622074235,5801452805.995645,406035105.70112514,454369874.8406342,133389079882.74815,133902084433.54753,133928379409.996,133928384502.39494,133910112667.13327,128126931767.75969,133522349468.05421,133474014698.9147,539304691.0071869,26300140.20780945,5163.759338378906
67.5946,96815524382.39957,67.5946,9269876.213679165,3469745663.9738436,142651456.3836612,158688143.09236637,96336982382.35197,96794334869.34555,96815519745.77367,96815524314.80496,96806254506.18588,93345778718.42572,96672872926.0159,96656836239.3072,478542000.04759216,21189513.054016113,4636.625900268555
31.8198,1071648357.7057334,31.8198,9859.967341836844,5036907.2415872365,6895.763280487489,7250.4153560402865,1046485069.7461921,1070589940.2062154,1071647313.3291609,1071648325.8859334,1071638497.7383916,1066611450.4641461,1071641461.9424529,1071641107.2903774,25163287.95954132,1058417.4995180368,1044.3765724897385
61.8468,56883052478.420494,61.8468,3250756.2897408474,1513186365.077758,28899492.58627007,31858412.91100499,56511038994.4198,56868181196.73435,56883048591.42187,56883052416.57369,56879801722.13075,55369866113.342735,56854152985.83422,56851194065.50949,372013484.0006943,14871281.686141968,3886.9986267089844
8.6306,467441.5172294764,8.6306,54.83536211572159,898.4693427160893,10.993921718039688,11.144491463849965,415390.1885875268,461167.0713786452,467358.2924534261,467432.88662947644,467386.6818673607,466543.0478867603,467430.5233077584,467430.3727380126,52051.32864194963,6274.445850831224,83.22477605030872
63.9279,69340956683.06529,63.9279,4759142.28382768,2057360920.360944,51516193.58408888,56977342.78108288,68929711208.01938,69323989531.85757,69340952532.22108,69340956619.13739,69336197540.78146,67283595762.704346,69289440489.4812,69283979340.28421,411245475.0459137,16967151.207717896,4150.844207763672
24.6847,235790923.8404904,24.6847,2206.341899909051,719129.7030411655,950.2532923998853,987.9522944811432,227958138.0990239,235403960.31568435,235790289.98109022,235790899.1557904,235788717.4985905,235071794.13744923,235789973.587198,235789935.88819593,7832785.741466492,386963.52480605245,633.8594001829624
