x1,x2,x3,x4,x5,y
34.912607012067596,35.574658428408505,35.86563308562074,36.26891187398934,35.761216878523655,60265084.931704275
35.538457115800185,34.90939303269299,35.353908051581996,34.72689970503292,36.3555347804052,65011323.0140007
36.100100538131684,34.696834041716926,35.994218012001454,35.22260921013839,35.121197042665855,55024592.94464657
35.54479632347765,35.22419474711019,34.866816368466054,35.91903972263687,34.79432287142801,52704906.42914482
34.883020924739284,35.88818175604866,35.559383773247546,36.31089517723248,34.52705734969081,50852619.63178831
34.90887339120396,35.76301510400936,35.510486062109706,35.45552132023406,36.06329790646307,62626007.24190207
36.183925924739995,35.26104981567803,36.14516819187572,35.31432795416135,34.50078386042706,50485297.38000646
35.15287471533198,34.59705288520577,35.580519408638246,35.63280112227605,34.522927237904895,50697005.51873945
34.48785133945665,36.340922160421314,35.96990158832316,35.10732707917553,35.04721485781096,54444101.7164421
35.88669376529864,36.143559224157386,35.154991195590696,36.07875517648838,35.800082258458346,60544945.86834878
34.85776390392284,34.84282018011292,36.23555061360411,34.8200116923092,36.20772629130176,63749747.68208824
35.883477248572696,36.307378447780536,36.437812358281455,34.94398058802712,35.67459818499435,59323157.147420384
35.82933082573771,35.65631040227573,36.330529423663,35.85815688540079,35.12078386726076,55136968.84454494
35.84756351400506,36.42577892122519,35.61375069482231,36.36496797240781,34.79579262228271,52802760.24144432
34.708403362053694,34.69595360031478,35.32139311087512,35.91296396980938,34.80458600310747,52780678.0298058
36.22473686368507,35.75307466554277,36.38141962578023,34.54635247290476,36.29437027717671,64452875.56037298
36.02642875231957,34.88136287608478,35.99002768834627,35.12732834106277,34.961473377533025,53803891.8655469
34.63612769550656,36.40262980760386,35.87105990205193,35.13998451740243,35.96758208757761,61766710.67362478
35.71950968943784,35.20535535753299,36.02199824149478,35.11790701430092,36.43529272533385,65780243.394863255
34.91042274397975,34.53257201717297,35.97177329821992,34.66740393548402,35.78133435520666,60144144.18415693
