x1,y,Model_1_Y_pred,Model_2_Y_pred,Model_3_Y_pred,Model_4_Y_pred,Model_5_Y_pred,Model_6_Y_pred,Model_7_Y_pred,Model_8_Y_pred,Model_9_Y_pred,Model_10_Y_pred,Model_11_Y_pred,Model_12_Y_pred,Model_13_Y_pred,Model_14_Y_pred,Model_15_Y_pred,Model_16_Y_pred,Model_17_Y_pred,Model_18_Y_pred,Model_19_Y_pred,Model_20_Y_pred,Model_21_Y_pred,Model_1_Residuals,Model_2_Residuals,Model_3_Residuals,Model_4_Residuals,Model_5_Residuals,Model_6_Residuals,Model_7_Residuals,Model_8_Residuals,Model_9_Residuals,Model_10_Residuals,Model_11_Residuals,Model_12_Residuals,Model_13_Residuals,Model_14_Residuals,Model_15_Residuals,Model_16_Residuals,Model_17_Residuals,Model_18_Residuals,Model_19_Residuals,Model_20_Residuals,Model_21_Residuals
19.3349,-1.0321353828679276,19.3349,0.8845144844884288,-0.98390077094271,-1.0176383,-1.047940162754041,-1.0898997544412161,-1.0832017877761122,-1.136829343953429,-0.9901221534940383,-0.9898310870958258,-0.9665625855068994,-0.9782019521029217,-0.9904463851792529,-1.0401926680878613,-0.985507529968077,-0.9855078957145395,-0.9855187859462218,-0.9854876964909483,-0.9884990609561747,-0.9858793349926578,-0.9877265743738693,20.36703538286793,1.9166498673563566,0.04823461192521761,0.014497082867927613,0.015804779886113396,0.05776437157328851,0.05106640490818459,0.10469396108550133,0.042013229373889294,0.04230429577210182,0.06557279736102817,0.053933430765005896,0.041688997688674734,0.008057285219933652,0.04662785289985061,0.04662748715338816,0.04661659692170583,0.04664768637697936,0.04363632191175293,0.04625604787526982,0.04440880849405826
66.731,-0.2822033919046626,66.731,-0.72651875389965,-0.48967709338241483,-1.0176383,-0.9892299810707512,-1.038523872191133,-1.006810187834902,-1.0491305831998057,-0.28537903696917355,-0.28532602062817236,-0.2957834364951899,-0.29055431390771846,-0.3030105967158323,-0.2934659826201478,-0.2927076838626266,-0.29270779166894334,-0.2941666617322688,-0.29203501499468154,-0.2965565950243012,-0.27950498504887655,-0.28257073189407744,67.01320339190465,0.44431536199498745,0.20747370147775224,0.7354349080953374,0.7070265891660886,0.7563204802864704,0.7246067959302395,0.7669271912951431,0.003175645064510957,0.0031226287235097683,0.013580044590527307,0.008350922003055872,0.02080720481116971,0.011262590715485188,0.010504291957963985,0.010504399764280747,0.011963269827606204,0.009831623090018948,0.014353203119638613,0.0026984068557860397,0.0003673399894148499
1.5366,-0.843226624362375,1.5366,0.03418966238450601,0.9091440107147177,-1.0176383,-1.0227565409585566,-1.0000001708338373,-0.8578846805122343,-0.8877766167111478,-0.975944103719379,-0.7717815387161545,-0.5818552597263893,-0.7305451957418885,-0.7398963256643952,-0.8214653351808616,-0.8007490707815368,-0.8007525854684515,-0.8022652983221144,-0.8207882644465533,-0.793170707888864,-0.8123651485420883,-0.8067646179404557,2.379826624362375,0.8774162867468811,1.7523706350770927,0.17441167563762494,0.17952991659618156,0.15677354647146224,0.014658056149859267,0.04454999234877277,0.13271747935700395,0.07144508564622054,0.26137136463598576,0.11268142862048658,0.10333029869797983,0.021761289181513432,0.04247755358083827,0.04247403889392354,0.040961326040260704,0.02243835991582177,0.05005591647351104,0.030861475820286755,0.036462006421919324
98.1157,-1.319923585095354,98.1157,-0.7476182918623973,-0.12590653555137402,-1.0176383,-0.9924378596148746,-1.043496653651072,-1.0158378835074735,-1.0595990046838986,-1.5620142004983606,-1.561991292043909,-1.5688291616164682,-1.5654101095632953,-1.5778443421778143,-1.56704208810411,-1.5668720790332116,-1.5668721522252533,-1.5657943193090462,-1.5672055908288938,-1.5708191166674665,-1.5770563934029678,-1.5790521871315022,99.43562358509536,0.5723052932329566,1.19401704954398,0.3022852850953539,0.3274857254804793,0.276426931444282,0.3040857015878804,0.26032458041145534,0.2420906154030067,0.24206770694855506,0.24890557652111434,0.2454865244679414,0.25792075708246043,0.24711850300875615,0.24694849393785767,0.24694856712989943,0.24587073421369232,0.24728200573353987,0.25089553157211264,0.25713280830761387,0.2591286020361483
31.0827,-1.9529979659279304,31.0827,0.9449918844802215,-0.9567850624012194,-1.0176383,-1.0313557978880812,-1.1206125858921898,-1.1190000053052294,-1.176107641781739,-1.9407756673542704,-1.9407202975378564,-1.951410924340238,-1.9460651682465955,-1.9585228665350782,-2.000782640294025,-1.9506887324652546,-1.9506889639393814,-1.9513886568547205,-1.9492274429829541,-1.9541611170401494,-1.9374000999618062,-1.9402233285103128,33.03569796592793,2.897989850408152,0.996212903526711,0.9353596659279304,0.9216421680398492,0.8323853800357406,0.833997960622701,0.7768903241461913,0.012222298573659973,0.012277668390074048,0.001587041587692406,0.0069327976813349235,0.005524900607147831,0.04778467436609457,0.0023092334626757527,0.0023090019885489976,0.0016093090732098858,0.0037705229449762623,0.0011631511122189853,0.015597865966124225,0.01277463741761764
64.8251,-0.6084562964627862,64.8251,-0.40999684347248105,-0.5147329234954678,-1.0176383,-0.9937150879923388,-1.0036367657222802,-0.9049597324927813,-0.9350768736262318,-0.6245437949369435,-0.6244448146007624,-0.6106690463561322,-0.6175579572759515,-0.6298635377277808,-0.6131557412412312,-0.6197478191931889,-0.6197479288264396,-0.6179477876722322,-0.619102363532094,-0.6235406187474195,-0.6074617047048163,-0.6104473951797844,65.4335562964628,0.19845945299030515,0.09372337296731836,0.4091820035372138,0.38525879152955256,0.395180469259494,0.29650343602999507,0.3266205771634456,0.016087498474157247,0.015988518137976193,0.0022127498933459666,0.009101660813165324,0.021407241264994603,0.004699444778444972,0.011291522730402681,0.011291632363653381,0.009491491209446035,0.010646067069307819,0.0150843222846333,0.0009945917579698982,0.0019910987169982075
18.3461,-1.4884250362549674,18.3461,0.875920467491563,-0.9731680949781645,-1.0176383,-1.0501380346928695,-1.0861240308908853,-1.0784589298804177,-1.131503605513959,-1.364326423766347,-1.3639806659286693,-1.3913340999864814,-1.3776503378970015,-1.3902075998394956,-1.4724701548159573,-1.3855463720765795,-1.385546767383648,-1.3859781973178957,-1.3844830961997094,-1.3885527033664444,-1.3801749500980047,-1.382308049967136,19.834525036254966,2.3643455037465304,0.5152569412768029,0.47078673625496736,0.4382870015620979,0.4023010053640821,0.40996610637454967,0.35692143074100846,0.12409861248862031,0.12444437032629807,0.09709093626848597,0.11077469835796583,0.09821743641547176,0.015954881439010027,0.10287866417838787,0.10287826887131946,0.10244683893707163,0.10394194005525792,0.09987233288852293,0.10825008615696263,0.10611698628783128
70.6535,-1.0063879993728333,70.6535,0.032329071563515076,-0.43910417140958863,-1.0176383,-1.0004577815850189,-1.0000001365710394,-0.8578495872765984,-0.8877431590431211,-0.9976206546931838,-0.9975205991273551,-0.9836717956659271,-0.9905972408749351,-1.002902355677387,-0.9921263535164004,-0.9926063790776858,-0.9926064796631839,-0.9927649881133345,-0.9926404064364907,-0.9964266045357605,-0.9936599473541557,-0.9960165549815149,71.65988799937283,1.0387170709363485,0.5672838279632446,0.011250300627166698,0.00593021778781444,0.006387862801793931,0.14853841209623486,0.11864484032971223,0.008767344679649458,0.008867400245478163,0.02271620370690619,0.01579075849789824,0.003485643695446239,0.014261645856432859,0.013781620295147512,0.013781519709649359,0.01362301125949883,0.013747592936342645,0.009961394837072812,0.01272805201867755,0.01037144439131843
54.9652,-0.9839507252065433,54.9652,-0.01267109872515489,-0.6485582149503641,-1.0176383,-0.9997695236561197,-1.0000000032223948,-0.8575987455227925,-0.8875040919123328,-0.9890793137729961,-0.988913846287441,-1.007608258924181,-0.9982587437711115,-1.0107646466445626,-1.0180000157787474,-1.000883476346061,-1.0008836077506769,-1.0027416330354908,-1.0001658253351586,-1.0046770895556212,-0.9893375190439492,-0.9922862931528693,55.94915072520654,0.9712796264813883,0.3353925102561791,0.03368757479345674,0.015818798449576454,0.016049278015851542,0.12635197968375078,0.09644663329421044,0.005128588566452819,0.004963121080897692,0.02365753371763779,0.014308018564568203,0.026813921438019306,0.03404929057220418,0.016932751139517754,0.01693288254413361,0.018790907828947545,0.01621510012861538,0.02072636434907793,0.005386793837405923,0.008335567946326061
70.7067,-0.806585750921302,70.7067,-0.02086378027510668,-0.43842780574564194,-1.0176383,-0.9997050120326507,-1.000000023687189,-0.8576766533123416,-0.8875783269295132,-0.9808428698620527,-0.9807429038094951,-0.9669001648904516,-0.973822576436227,-0.98612772990705,-0.9746066005122678,-0.975830209264361,-0.9758303097744941,-0.9738509223781576,-0.9752368976377301,-0.9796506774413745,-0.963505578368687,-0.9665112670939682,71.5132857509213,0.7857219706461953,0.3681579451756601,0.21105254907869797,0.1931192611113487,0.19341427276588707,0.05109090239103953,0.08099257600821119,0.1742571189407507,0.1741571528881931,0.16031441396914958,0.16723682551492502,0.17954197898574797,0.16802084959096575,0.169244458343059,0.16924455885319212,0.1672651714568556,0.1686511467164281,0.17306492652007244,0.15691982744738497,0.15992551617266615
