x1,y,Model_1_Y_pred,Model_2_Y_pred,Model_3_Y_pred,Model_4_Y_pred,Model_5_Y_pred,Model_6_Y_pred,Model_1_Residuals,Model_2_Residuals,Model_3_Residuals,Model_4_Residuals,Model_5_Residuals,Model_6_Residuals
63.3247,258006.53627240323,63.3247,4010.01763009,253933.1634201602,257943.18105025022,258006.50575025022,258006.50575025022,257943.21157240323,253996.51864231323,4073.3728522430174,63.35522215301171,0.030522153014317155,0.030522153014317155
59.8206,217706.4747814378,59.8206,3578.5041843599997,214068.2674109258,217646.7715952858,217706.5921952858,217706.5921952858,217646.6541814378,214127.9705970778,3638.207370512013,59.70318615200813,0.11741384799825028,0.11741384799825028
40.804,69642.90951182175,40.804,1664.9664160000002,67937.28963846402,69602.25605446401,69643.06005446402,69643.06005446402,69602.10551182175,67977.94309582176,1705.619873357733,40.65345735773735,0.15054264226637315,0.15054264226637315
22.3173,11635.780695829775,22.3173,498.06187929,11115.396378678717,11613.458257968718,11635.775557968718,11635.775557968718,11613.463395829775,11137.718816539775,520.384317151058,22.32243786105755,0.005137861056937254,0.005137861056937254
24.5391,15403.201974869276,24.5391,602.16742881,14776.646752311473,15378.814181121472,15403.353281121472,15403.353281121474,15378.662874869276,14801.034546059276,626.5552225578031,24.387793747804608,0.15130625219535432,0.1513062521971733
11.8484,1815.5932384839537,11.8484,140.38458255999998,1663.3326880039037,1803.7172705639039,1815.565670563904,1815.5656705639037,1803.7448384839536,1675.2086559239538,152.26055048004991,11.875967920049789,0.027567920049705208,0.02756792004993258
14.2097,3085.415427784438,14.2097,201.91557409,2869.1597331466733,3071.075307236673,3085.2850072366728,3085.285007236673,3071.2057277844383,2883.499853694438,216.25569463776492,14.34012054776531,0.130420547765425,0.13042054776497025
30.1961,28474.93706549679,30.1961,911.8044552100001,27532.938509966687,28444.742965176687,28474.939065176688,28474.939065176688,28444.74096549679,27563.13261028679,941.9985555301027,30.194100320102734,0.0019996798982901964,0.0019996798982901964
31.6044,32598.033862182463,31.6044,998.8380993599999,31567.67882741318,32566.516926773176,32598.121326773176,32598.12132677318,32566.429462182463,31599.195762822463,1030.3550347692835,31.516935409286816,0.08746459071335266,0.08746459071699064
48.2645,114807.96635229287,48.2645,2329.4619602499997,112430.3167804861,114759.77874073612,114808.04324073612,114808.04324073611,114759.70185229287,112478.50439204287,2377.6495718067745,48.187611556757474,0.07688844324729871,0.0768884432327468
41.0238,70765.06386506568,41.0238,1682.9521664400002,69041.09308560129,70724.04525204128,70765.06905204128,70765.06905204128,70724.04006506568,69082.11169862568,1723.970779464391,41.01861302439647,0.005186975598917343,0.005186975598917343
