x1,y,Model_1_Y_pred,Model_2_Y_pred,Model_3_Y_pred,Model_4_Y_pred,Model_5_Y_pred,Model_6_Y_pred,Model_7_Y_pred,Model_8_Y_pred,Model_9_Y_pred,Model_10_Y_pred,Model_11_Y_pred,Model_12_Y_pred,Model_13_Y_pred,Model_14_Y_pred,Model_15_Y_pred,Model_1_Residuals,Model_2_Residuals,Model_3_Residuals,Model_4_Residuals,Model_5_Residuals,Model_6_Residuals,Model_7_Residuals,Model_8_Residuals,Model_9_Residuals,Model_10_Residuals,Model_11_Residuals,Model_12_Residuals,Model_13_Residuals,Model_14_Residuals,Model_15_Residuals
55.7983,550755342.4506612,55.7983,3113.45028289,1060400.4232399145,1467044737.7022111,4264658.406675272,546254337.6563045,546269251.4170207,550578448.2432513,550578448.2432513,550578448.2432513,550705897.3979234,550705746.6490703,550723756.1349299,550744772.3754567,550752173.476171,550755286.6523612,550752229.0003783,549694942.0274212,916289395.25155,546490684.043986,4501004.794356704,4486091.033640504,176894.2074098587,176894.2074098587,176894.2074098587,49445.05273783207,49595.801590919495,31586.315731287003,10570.075204491615,3168.9744901657104
56.1012,565811601.1470726,56.1012,3147.34464144,1122108.6005964524,1467044737.7022111,4518907.733074683,561250305.3329868,561265649.1388592,565631827.4072123,565631827.4072121,565631827.4072121,565762066.5990397,565761912.550087,565779514.5714089,565800858.8625823,565808397.2184105,565811545.0458726,565808453.8024311,564689492.5464761,901233136.5551386,561292693.4139979,4561295.814085722,4545952.008213401,179773.73986029625,179773.73986041546,179773.73986041546,49534.54803287983,49688.59698557854,32086.5756636858,10742.2844902277,3203.9286620616913
82.7782,3934217118.3324,82.7782,6852.23039524,138220961.83338886,1467044737.7022111,610406538.2126769,3929078350.178749,3929196141.813946,3933642967.6976967,3933642967.6976967,3933642967.6976967,3934260297.1582327,3934259566.9712934,3934117399.9820004,3934182902.070514,3934210182.9958,3934217035.5541997,3934210266.1020045,3795996156.499011,2467172380.630189,3323810580.119723,5138768.153650761,5020976.518454075,574150.6347031593,574150.6347031593,574150.6347031593,43178.82583284378,42448.63889360428,99718.35039949417,34216.261885643005,6935.336599826813
39.8366,102908768.27002127,39.8366,1586.9546995599999,49568.08593961029,1467044737.7022111,182647.79346464772,101237624.79485802,101240157.1910138,102843923.27598271,102843923.2759827,102843923.2759827,102877035.0270699,102876995.86197293,102896801.0413615,102904875.85691088,102907142.15556718,102908728.43342127,102907181.31532171,102859200.18408166,1364135969.43219,102726120.47655663,1671143.4751632512,1668611.0790074766,64844.99403856695,64844.99403858185,64844.99403858185,31733.242951378226,31772.40804834664,11967.228659778833,3892.4131103903055,1626.1144540905952
13.7179,523973.4311874744,13.7179,188.18078041,188.3752192307589,1467044737.7022111,493.29847846027604,488912.98959750345,488921.6810713344,521190.364810506,521190.364810506,521190.364810506,521655.9547845142,521655.40407741227,523349.546540582,523795.31310201273,523771.8099380923,523959.7132874744,523785.2504070644,523785.0559682436,1466520764.2710238,523480.1327090141,35060.44158997096,35051.75011614,2783.0663769684033,2783.0663769684033,2783.0663769684033,2317.476402960194,2318.027110062132,623.884646892373,178.11808546166867,201.62124938209308
37.1771,72982594.78209649,37.1771,1382.1367644100003,29206.61985569731,1467044737.7022111,105602.17039132603,71653014.82165322,71654773.56849176,72929791.84077534,72929791.84077533,72929791.84077533,72954908.10987811,72954878.40196225,72972770.49650858,72979420.43214566,72981175.67747948,72982557.60499649,72981212.64533208,72953388.16224079,1394062142.9201148,72876992.61170517,1329579.9604432732,1327821.2136047333,52802.94132114947,52802.94132116437,52802.94132116437,27686.67221838236,27716.380134239793,9824.285587906837,3174.3499508351088,1419.1046170145273
94.0733,7446859514.875184,94.0733,8849.78577289,979362616.7114137,1467044737.7022111,4450296463.316379,7450392187.74356,7450622015.903077,7446018042.787364,7446018042.787365,7446018042.787365,7447047761.499379,7447046543.531983,7446714389.349188,7446809394.0875635,7446850571.3393135,7446859420.801884,7446850665.089411,6467496898.163771,5979814777.172973,2996563051.5588055,3532672.868375778,3762501.0278930664,841472.0878200531,841472.0878190994,841472.0878190994,188246.62419509888,187028.6567993164,145125.5259962082,50120.78762054443,8943.535870552063
19.7433,3159893.2195098638,19.7433,389.79789489000007,749.2088025173207,1467044737.7022111,2234.7506498832654,3021903.1486391295,3021964.3390155337,3151786.762286651,3151786.7622866514,3151786.7622866514,3153784.4705583914,3153782.1076378087,3158223.792282922,3159391.694224734,3159482.659064833,3159873.4762098636,3159503.421614974,3159144.0107073463,1463884844.4827013,3157658.4688599803,137990.0708707343,137928.88049433008,8106.457223212812,8106.457223212346,8106.457223212346,6108.748951472342,6111.111872055102,1669.427226941567,501.525285129901,410.5604450306855
16.3218,1233952.376865607,16.3218,266.40115524,345.4565102513995,1467044737.7022111,964.6878705868237,1166323.6113391758,1166345.7213322318,1229320.7931246615,1229320.7931246615,1229320.7931246615,1230253.886909594,1230252.783231674,1232957.6855433905,1233660.9668903037,1233668.9395002576,1233936.055065607,1233685.975710367,1233606.9203553556,1465810785.3253455,1232987.6889950202,67628.76552643115,67606.65553337522,4631.58374094544,4631.58374094544,4631.58374094544,3698.489956012927,3699.593633932993,994.6913222165313,291.409975303337,283.43736534938216
45.912,208542642.87454575,45.912,2107.911744,162384.41695462842,1467044737.7022111,621400.754925906,205926904.78799596,205932254.3490032,208443710.5741733,208443710.5741733,208443710.5741733,208502130.08768556,208502060.98817143,208524658.35256937,208536717.3021506,208540489.01816383,208542596.96254575,208540534.96280175,208380258.45759112,1258502094.8276653,207921242.11961985,2615738.0865497887,2610388.5255425572,98932.30037245154,98932.30037245154,98932.30037245154,40512.78686019778,40581.88637432456,17984.52197638154,5925.572395145893,2153.8563819229603
