x1,x2,y,Model_1_Y_pred,Model_2_Y_pred,Model_3_Y_pred,Model_4_Y_pred,Model_5_Y_pred,Model_6_Y_pred,Model_1_Residuals,Model_2_Residuals,Model_3_Residuals,Model_4_Residuals,Model_5_Residuals,Model_6_Residuals
3.6928,20.1937,-0.2354,20.1937,0.9744241495647213,0.9652465068432053,0.712417211362491,-0.11768774117636571,-0.23537548235272954,20.4291,1.2098241495647213,1.2006465068432053,0.947817211362491,0.11771225882363429,2.451764727046113e-05
46.889,12.7202,0.46,12.7202,0.15322341329389735,-0.6489400327175302,0.37900347035542725,0.22998757293610128,0.4599751458721991,12.2602,0.30677658670610264,1.1089400327175303,0.08099652964457277,0.23001242706389874,2.4854127800899573e-05
44.0855,14.5102,-0.0751,14.5102,0.9312262579587175,-0.6008294113903897,-0.9638161710433075,-0.037544678487509975,-0.07508935697502117,14.5853,1.0063262579587176,0.5257294113903896,0.8887161710433076,0.037555321512490025,1.0643024978829185e-05
90.8639,84.7201,-0.4773,84.7201,0.1027201430951985,-0.9794608784086265,-0.1389344096560472,-0.23865428434304015,-0.47730856868608024,85.1974,0.5800201430951986,0.5021608784086264,0.3383655903439528,0.23864571565695986,8.568686080234755e-06
34.1715,98.5937,-0.2698,98.5937,-0.9335985425386406,-0.3800027872192886,-0.9998088930795546,-0.13490902614782574,-0.2698180522956466,98.8635,0.6637985425386406,0.11020278721928861,0.7300088930795545,0.13489097385217425,1.805229564660893e-05
66.4028,83.4756,0.1844,83.4756,0.975151008001634,-0.8694789759512699,0.978865191802369,0.0922240144718861,0.1844480289437721,83.2912,0.790751008001634,1.05387897595127,0.794465191802369,0.0921759855281139,4.802894377209377e-05
93.0561,1.8499,0.5119,1.8499,0.9613027571935604,-0.9839890178918334,-0.0998463973591836,0.25593180411587246,0.511863608231746,1.338,0.4494027571935604,1.4958890178918334,0.6117463973591837,0.25596819588412756,3.6391768253984935e-05
35.2836,78.8753,1.2539,78.8753,-0.3292259051333997,-0.40942671981391954,0.3807406569878406,0.6269299487635543,1.2538598975271122,77.6214,1.5831259051333997,1.6633267198139197,0.8731593430121594,0.6269700512364457,4.01024728877708e-05
72.843,93.5254,-0.8303,93.5254,-0.6611718060876157,-0.911416637212576,-0.9658615151994046,-0.4151349141596668,-0.8302698283193337,94.3557,0.16912819391238432,0.081116637212576,0.13556151519940451,0.41516508584033324,3.0171680666324363e-05
59.084,33.385,-0.442,33.385,0.9217305410328377,-0.806002690912439,0.5364785354209535,-0.22098539758930247,-0.4419707951786065,33.827,1.3637305410328378,0.36400269091243903,0.9784785354209535,0.22101460241069754,2.9204821393513658e-05
39.1743,34.5973,-1.9893,34.5973,-0.039770319068246116,-0.5024484057555809,-0.9908489032503892,-0.994645480461345,-1.9892909609226894,36.5866,1.949529680931754,1.4868515942444192,0.9984510967496109,0.994654519538655,9.039077310646348e-06
4.1596,33.258,0.4561,33.258,0.9634294577962383,0.989451302370464,0.7339137696806102,0.2280527362436247,0.45610547248725136,32.8019,0.5073294577962384,0.5333513023704639,0.27781376968061017,0.2280472637563753,5.472487251356739e-06
70.0849,71.257,-0.8918,71.257,0.8412715735789749,-0.8948587787729905,-0.9215678854166622,-0.44590143535592963,-0.8918028707118594,72.14880000000001,1.7330715735789748,0.0030587787729904337,0.0297678854166622,0.4458985646440704,2.870711859337405e-06
31.3577,92.1993,0.0535,92.1993,-0.8880623541258486,-0.2992124624257305,0.9133103234678042,0.026752956060623334,0.053505912121243004,92.1458,0.9415623541258485,0.3527124624257305,0.8598103234678042,0.026747043939376665,5.912121243005497e-06
67.988,84.0831,1.334,84.0831,0.674215277712985,-0.8808896743314492,0.37753859782599375,0.6670037977709042,1.3340075955418085,82.7491,0.6597847222870151,2.2148896743314492,0.9564614021740063,0.6669962022290958,7.595541808402828e-06
73.6809,37.1086,-1.6435,37.1086,-0.5567862612499802,-0.9160631444776003,-0.903047336888321,-0.8217545429408962,-1.6435090858817878,38.752100000000006,1.0867137387500199,0.7274368555223997,0.740452663111679,0.8217454570591037,9.085881787829209e-06
