x1,y
22.8693,6541574.455096052
7.3777,25283.40736889611
41.9049,132377297.99478284
81.5726,3656608392.6713696
10.8197,163376.9074671649
88.9492,5631451979.141932
99.908,10054724393.597519
70.7204,1794355045.2007368
43.0636,151619672.18648207
18.9572,2584677.3809811766
57.2501,625942151.083011
94.7525,7719002955.2397585
38.3217,84860811.1085966
72.3908,2015849047.0509002
90.7087,6209535207.597734
13.1972,433141.5508870199
7.0965,20949.037677941153
5.7373,7527.1023522626565
33.5683,43932001.05548952
45.989,210289435.58521473
42.644,144409301.82654196
12.0516,277230.794406473
76.7807,2703670675.031737
50.4757,334273658.35335034
66.1705,1288058074.109673
80.3312,3387361160.8784966
52.2865,398413794.12606925
64.6818,1149945484.7132525
74.5724,2337511730.541754
27.354,15895656.980235508
17.6971,1839803.2397883877
55.3676,529900134.2553981
3.0685,401.97071365424836
63.2517,1028684031.6278634
24.1278,8530450.711842787
54.9948,512363075.96647555
98.0656,9162939004.924387
65.8873,1260812663.0364215
37.3677,74862161.80088723
89.7011,5872967629.755867
41.3202,123438832.88663836
71.1603,1850696417.8487108
75.9137,2554816474.288596
70.119,1719558028.7229652
86.9061,5015076503.201324
92.2788,6764593557.871292
39.5078,98752561.2268383
88.7955,5583075305.63751
7.6421,29988.29081908193
61.9951,930784710.9644989
64.0897,1098426417.7769067
35.7687,60232442.82741598
64.3964,1124876745.8856711
20.6576,3953197.895163056
20.8958,4184007.873592053
34.0255,46986996.50148054
78.1523,2953260145.8167105
33.8038,45485081.89156108
74.4776,2322731860.3262243
54.9262,509187231.65636265
86.682,4950897597.33952
29.0914,21578155.94789441
88.2194,5404698892.472068
57.4694,637979617.3949305
66.4871,1319072250.3739188
36.3251,65036551.6127879
48.6632,278625451.8517585
71.0094,1831212324.0059297
43.3197,156160093.2696706
66.102,1281425222.074381
83.3287,4066458843.263628
50.2489,326860784.2470211
71.5093,1896394806.9303498
79.1601,3148131743.461791
1.7168,33.14332676481035
41.8259,131140247.26667935
26.209,12857219.261636471
59.0154,728196922.1273754
35.7334,59937515.49301705
33.089,40902104.677137
17.5165,1748903.199488665
38.0248,81641110.30442749
67.2548,1396761853.2742667
73.6972,2203881519.7948265
59.4465,755090889.448592
69.8651,1688738977.6547375
74.7095,2359019407.5236845
49.1896,293958771.4257242
28.9942,21222605.53920732
38.9823,92389686.06248502
13.599,502000.8928891832
50.8135,345563290.52368975
85.1337,4525213389.751964
25.6265,11500932.372597225
93.1959,7106720443.395906
95.7381,8128008614.267763
9.0364,67749.34580305485
4.1437,1609.5242275793921
41.4028,124671391.96089165
39.2351,95408341.83404654
63.9206,1084057208.4945493
22.1851,5627788.376702462
87.2474,5114096873.785867
67.2272,1393906829.0439913
76.012,2571356028.4766917
52.7995,418266700.78005564
30.656,27988545.84863484
19.5994,3047597.5619592513
71.9256,1952081483.6572819
85.8729,4724629268.448761
63.479,1047240403.6493996
76.4151,2640078274.8258715
44.1028,170722787.02041936
93.3462,7164086638.5016775
79.7117,3259065851.4266276
12.5851,342956.20167468995
91.8501,6609253216.782751
98.9841,9599243846.709787
10.5335,143278.0595806114
